date,team_A,team_B,goals_A,goals_B,tournament,city,country,neutral,elo_A,elo_B,elo_diff,label,A_wins_last5,A_draws_last5,A_loss_last5,A_gf_avg_last5,A_ga_avg_last5,A_gd_avg_last5,B_wins_last5,B_draws_last5,B_loss_last5,B_gf_avg_last5,B_ga_avg_last5,B_gd_avg_last5,match_importance
2006-03-01,Kuwait,Bahrain,0,0,AFC Asian Cup qualification,Kuwait City,Kuwait,False,1442.0,1496.0,-54.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2006-03-01,Luxembourg,Belgium,0,2,Friendly,Luxembourg,Luxembourg,False,980.0,1699.0,-719.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-03-01,Albania,Lithuania,1,2,Friendly,Tirana,Albania,False,1517.0,1477.0,40.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-03-01,Italy,Germany,4,1,Friendly,Florence,Italy,False,1949.0,1881.0,68.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-03-22,Albania,Georgia,0,0,Friendly,Tirana,Albania,False,1517.0,1512.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-03-26,Thailand,Philippines,5,0,Friendly,Chonburi,Thailand,False,1417.0,960.0,457.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-03-29,Mexico,Paraguay,2,1,Friendly,Chicago,United States,True,1841.0,1767.0,74.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-03-30,Japan,Ecuador,1,0,Friendly,Ōita,Japan,False,1789.0,1719.0,70.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-04-01,Bangladesh,Cambodia,2,1,AFC Challenge Cup,Dhaka,Bangladesh,False,1032.0,816.0,216.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2006-04-01,Palestine,Guam,11,0,AFC Challenge Cup,Dhaka,Bangladesh,True,1254.0,602.0,652.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2006-04-01,Tanzania,Zanzibar,2,2,Friendly,Dar es Salaam,Tanzania,False,1236.0,1301.0,-65.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-04-02,Kyrgyzstan,Pakistan,0,1,AFC Challenge Cup,Dhaka,Bangladesh,True,1140.0,877.0,263.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2006-04-02,Nepal,Bhutan,2,0,AFC Challenge Cup,Chittagong,Bangladesh,True,937.0,572.0,365.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2006-04-03,Cambodia,Palestine,0,4,AFC Challenge Cup,Dhaka,Bangladesh,True,816.0,1254.0,-438.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2006-04-03,Bangladesh,Guam,3,0,AFC Challenge Cup,Dhaka,Bangladesh,False,1032.0,602.0,430.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2006-04-03,Afghanistan,Taiwan,2,2,AFC Challenge Cup,Chittagong,Bangladesh,True,837.0,968.0,-131.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2006-04-04,Brunei,Nepal,2,1,AFC Challenge Cup,Chittagong,Bangladesh,True,601.0,937.0,-336.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
