model_name,accuracy,balanced_accuracy,log_loss,training_seconds,draw_recall,draw_f1
logistic,0.5797938144329897,0.5397091337877072,0.8914379900838775,0.20526432991027832,0.2768959435626102,0.29182156133828996
random_forest,0.5839175257731959,0.5225939348559411,0.8835532388762911,1.6058731079101562,0.15696649029982362,0.20578034682080926
xgboost,0.5975257731958763,0.5139316632816207,0.8755176777694283,0.7331268787384033,0.0582010582010582,0.09806835066864784
naive_baseline,0.462680412371134,0.3333333333333333,1.0591387413672269,0.0,0.0,0.0
